Final Price/Ounce,Final Price (max),Discount,Alt Price/Ounce,Alt Price (min),Strike Price,List Price,Product Name,Grams of Sugar,Grams of Protein,Grams of Fat,Calories,Number in Package,Ounces
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Non-Fat Pomegranate - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,0,12,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Passion Fruit 2% Yogurt - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,2.5,14,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Non-Fat Blended Vanilla - 5.3 Oz Get started today - enroll in Box Tops for Education,13,1,0,11,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Blended Low-Fat Coconut - 5.3 Oz Get started today - enroll in Box Tops for Education,12,1,4.5,14,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Light & Fit Yogurt Greek Nonfat Key Lime - 5.3 Oz Get started today - enroll in Box Tops for Education,7,1,0,80,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Light & Fit Yogurt Greek Nonfat Limited Edition Pumpkin Pie - 5.3 Oz Get started today - enroll in Box Tops for Education,7,1,0,80,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Light & Fit Yogurt Greek Nonfat Strawberry Cheesecake - 5.3 Oz Get started today - enroll in Box Tops for Education,7,1,0,80,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Light & Fit Yogurt Greek Nonfat Banana Cream - 5.3 Oz Get started today - enroll in Box Tops for Education,7,1,0,80,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Light & Fit Greek Yogurt Peach - 5.3 Oz Get started today - enroll in Box Tops for Education,7,1,0,80,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Oikos Yogurt Greek Triple Zero Nonfat Mixed Berry - 5.3 Oz Get started today - enroll in Box Tops for Education,6,1,0,12,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Oikos Yogurt Greek Triple Zero Nonfat Vanilla - 5.3 Oz Get started today - enroll in Box Tops for Education,6,1,0,12,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Oikos Yogurt Greek Triple Zero Nonfat Banana Creme - 5.3 Oz Get started today - enroll in Box Tops for Education,6,1,0,12,0,5.3
